FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,phenotype,Date,accl_temp,length,mass,tenth_perc_MO2_mg_hr,tenth_perc_MO2_mg_hr_kg
O1O2O3,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/9/19,12,61,5.7,3.035792077,0.000532595
P1G2G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/9/19,12,62,6.8,4.067457397,0.000598155
O4R5O6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/9/19,12,82,14.2,4.596912086,0.000323726
G1P4O5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/9/19,12,65,6.7,4.207203517,0.000627941
O1G3P5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/9/19,12,72,10.5,4.225842494,0.000402461
G2P3G6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/9/19,12,56,4,4.600733175,0.001150183
O2P3O4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,WAM,4/9/19,12,62,6,4.93630781,0.000822718
R3G4P5,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/9/19,12,83,13.9,6.745224318,0.000485268
P2O5R6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/9/19,12,67,10.4,5.582217787,0.000536752
P2R3G5,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,WAM,4/9/19,12,58,5.2,4.346367337,0.00083584
G1O2P4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/9/19,12,64,5.9,5.933549663,0.001005686
R1O4R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/9/19,12,66,11,7.282768448,0.00066207
G1G3O5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/9/19,12,60,5.6,4.493514442,0.000802413
P2P3O6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/9/19,12,67,7.7,6.150796724,0.000798805
G1P2R3,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/9/19,12,64,7.7,5.755494031,0.000747467
O3O4R5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/9/19,12,69,11.4,6.106242694,0.000535635
O2G5O6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/9/19,12,64,7.3,5.913915599,0.000810125
R1R2G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/9/19,12,71,12.2,7.059366057,0.000578637
P3P4R5,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/9/19,12,62,12.6,6.24495691,0.000495632
P2G3P4,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/9/19,12,62,6.8,4.713941931,0.000693227
G1P4R6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/10/19,28,67,5.4,2.131897836,0.000394796
G2O3O6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/10/19,28,65,5.6,3.810659597,0.000680475
O1P4R5,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/10/19,28,70,9.2,4.835457452,0.000525593
G1O4P5,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/10/19,28,77,10.7,8.992999,0.000840467
R1R3P5,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/10/19,28,58,3.4,3.426528777,0.001007803
P4G5R6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/10/19,28,62,5,4.132116018,0.000826423
P3G5R6,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/10/19,28,73,9.5,6.843994891,0.000720421
O1R2O5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/10/19,28,74,10.5,8.981107789,0.000855344
G1O4O5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/10/19,28,76,9.4,6.581540284,0.000700164
O1P2R3,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/10/19,28,76,12.3,10.23105253,0.000831793
G1G3G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/10/19,28,74,7.5,5.848118439,0.000779749
P1P2R4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/10/19,28,67,8.3,6.545608688,0.000788628
R1G4R6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/10/19,28,78,11.8,8.68873899,0.000736334
O3R5G6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/10/19,28,76,11.4,9.763799476,0.000856474
O1G2G3,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/10/19,28,69,7,6.840879593,0.000977269
G1O3G6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/10/19,28,68,6.7,5.161849223,0.000770425
G1P2R5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/11/19,12,78,12,1.700303777,0.000141692
O1P4P5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/11/19,12,62,8,1.882315171,0.000235289
P1R3G4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/11/19,12,65,6.2,2.343836408,0.000378038
O1R3R6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/11/19,12,62,8,1.816999964,0.000227125
O1O2R4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/11/19,12,69,8.2,2.206924335,0.000269137
R2R4R5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/11/19,12,70,8.9,3.626448668,0.000407466
G3O4G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/11/19,12,68,9,3.023989738,0.000335999
O2G3G4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,WAM,4/11/19,12,72,10,2.718485817,0.000271849
O4G5P6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,WAM,4/11/19,12,63,6.1,2.369634162,0.000388465
P3R5R6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/11/19,12,59,5,2.36354031,0.000472708
O3G4G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/23/19,28,72,13.5,6.185153311,0.00045816
G1O2G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/23/19,28,63,6.3,3.576962255,0.000567772
R3P4G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/23/19,28,76,11.8,5.009367657,0.000424523
P3O5G6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/23/19,28,69,7.8,4.164083708,0.000533857
O2P4G5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/23/19,28,72,10.1,4.903482114,0.000485493
O2O5R6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/23/19,28,62,5.5,2.569642649,0.000467208
P2G4G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/23/19,28,66,7.4,3.371001334,0.000455541
G1G2G4,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/23/19,28,68,9.1,4.372169337,0.000480458
O2R5O6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/23/19,28,63,4.7,2.375104426,0.000505341
G3G5G6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/23/19,28,68,6.7,4.811156208,0.000718083
O2O3G4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/23/19,28,66,5.7,2.874790677,0.000504349
P1O4O5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/23/19,28,72,11.3,6.613664754,0.00058528
G2G3G4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/23/19,28,70,8.9,4.506076559,0.000506301
P2O4R6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/23/19,28,76,8.6,5.256732696,0.000611248
R1P2G5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/23/19,28,74,10.2,5.629763065,0.000551938
G2P3R5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/23/19,28,63,5.9,3.422130475,0.000580022
O2R3O6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/23/19,28,74,10,5.318306208,0.000531831
O1R2R5,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/23/19,28,65,7.1,2.361958435,0.00033267
G3P4G5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/23/19,28,72,9,3.526813002,0.000391868
G2P3G5,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/23/19,28,69,7.2,3.678790745,0.000510943
P1G4R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/24/19,12,72,11.9,2.438810321,0.000204942
G1R2P4,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/24/19,12,68,7.8,2.117065929,0.000271419
O1R4P6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/24/19,12,67,7.6,1.906547639,0.000250862
O2O4O6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/24/19,12,76,9.7,1.853766015,0.00019111
P1G3G5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/24/19,12,71,9.2,2.051018411,0.000222937
O1O3R5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/24/19,12,77,13.3,3.580701521,0.000269226
R1R2O5,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/24/19,12,56,3.9,1.442994732,0.000369999
P1O5R6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/24/19,12,70,7.7,2.71157804,0.000352153
P2R4G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/24/19,12,65,5.3,1.594785873,0.000300903
R2O4G6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/24/19,12,65,6.3,2.184930171,0.000346814
G1R3O4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,WAM,4/24/19,12,74,10.5,4.031063093,0.000383911
P1P4P6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/24/19,12,67,6.3,2.467931654,0.000391735
G1R4R6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/24/19,12,66,7.5,1.932956082,0.000257727
G1R4G5,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/24/19,12,72,9.9,3.185079006,0.000321725
O1O4R5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/24/19,12,57,4.6,1.943276548,0.000422451
P2R3G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/25/19,28,73,9,4.666587128,0.00051851
R2G5O6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/25/19,28,74,11.4,6.414339688,0.000562661
O1R5P6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/25/19,28,69,8.3,5.527154724,0.000665922
P4G5G6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/25/19,28,80,13.4,7.4744554,0.000557795
G1O3R4,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/25/19,28,80,13.2,6.448929243,0.000488555
G2G4O6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/25/19,28,79,12,4.959647779,0.000413304
G1O2P6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/25/19,28,67,7.9,4.020391915,0.00050891
P1G3O5,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/25/19,28,62,5.4,4.15251567,0.000768984
O2R3G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/25/19,28,75,11.2,6.311772045,0.000563551
G1G2R4,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/25/19,28,66,6.1,5.326249223,0.000873156
P1O4G5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/25/19,28,70,10.6,5.85158998,0.000552037
P1R2G3,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/25/19,28,69,8,6.363845484,0.000795481
P3G4G5,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/25/19,28,78,8.9,4.870710262,0.000547271
G1P2O3,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/25/19,28,67,6.6,4.963909096,0.000752107
R2O5G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/25/19,28,92,16.1,7.431420523,0.000461579
P1O3G4,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,28 to 12,WAM,4/25/19,28,71,9.1,7.474865093,0.000821414
R3G5P6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/25/19,28,85,15.6,7.261143503,0.000465458
G2G3R6,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/25/19,28,56,4.1,3.725823523,0.000908737
O2O3P5,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/25/19,28,60,4.9,4.929011841,0.001005921
G2P3P4,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/25/19,28,71,8.1,4.341456906,0.000535982
R3G4R6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/26/19,12,71,7.8,1.739256952,0.000222982
G1O5R6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/26/19,12,65,7.2,2.194190462,0.000304749
O1G3R4,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/26/19,12,65,7.2,2.127196963,0.000295444
G4G5O6,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/26/19,12,85,19.3,3.178068269,0.000164667
G2R4R5,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/26/19,12,55,2.9,1.40423643,0.000484219
P1G2O4,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/26/19,12,66,6.1,2.758525923,0.000452217
R1P3R6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/26/19,12,60,4.6,1.684663157,0.000366231
R4O5R6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/26/19,12,59,4,1.389700155,0.000347425
R2R3G6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/26/19,12,58,4.6,1.58005332,0.00034349
R2R4P6,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/26/19,12,55,3.3,2.261820862,0.0006854
O2G4P5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/26/19,12,76,11.6,2.108563851,0.000181773
R1O2G5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/26/19,12,70,8.5,1.952795598,0.000229741
G1P3P4,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/26/19,12,58,4.6,1.75734239,0.000382031
G3O5G6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/26/19,12,67,7.5,1.51546712,0.000202062
R1O5P6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,WAM,4/26/19,12,67,8,2.286251461,0.000285781
R1O2R4,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/26/19,12,79,13.1,2.609353571,0.000199187
O2R4P6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/26/19,12,64,7,1.75098294,0.00025014
R2G4R6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/26/19,12,62,5.1,1.703554866,0.00033403
P2O4O5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/26/19,12,61,5.1,1.52288657,0.000298605
G2O3P6,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/27/19,12,66,5.6,1.344955321,0.000240171
P2R3P6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/27/19,12,67,7.1,2.767483818,0.000389786
P2G4G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/27/19,12,72,7.7,2.031410876,0.00026382
O1P2R6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/27/19,12,67,6.4,2.361418825,0.000368972
O1O2G5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/27/19,12,77,9.3,2.323917165,0.000249884
P1O2P6,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/27/19,12,59,5.5,2.245190281,0.000408216
R4O5G6,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/27/19,12,75,10,2.964302834,0.00029643
G2R3R6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,WAM,4/27/19,12,74,9.7,2.397954135,0.000247212
G3O5P6,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,WAM,4/27/19,12,76,11.6,3.819017121,0.000329226
P1G3P4,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/27/19,12,71,9.1,3.238299752,0.000355857
G1O3G5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/27/19,12,70,6.8,2.114109348,0.000310898
R2G3G5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,WAM,4/27/19,12,81,12.4,3.056843046,0.00024652
P1O3P4,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,12 to 28,WAM,4/27/19,12,75,13.1,3.992385363,0.000304762
P3G4O6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/27/19,12,71,8.8,2.650228054,0.000301162
R2G5G6,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/27/19,12,71,7.8,1.949144291,0.00024989
G1O2P5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,WAM,4/27/19,12,62,5,2.104769817,0.000420954
P2O3O4,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,WAM,4/27/19,12,85,13.8,3.404909831,0.000246733
G2O3G6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/27/19,12,70,6.5,1.762291859,0.000271122
R3P4R6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,WAM,4/27/19,12,71,6.9,2.1297509,0.00030866
G3G4O5,OCME,M,18.06903,OCME-PEAME,ME,N,44.421147,28 to 12,WAM,4/28/19,28,63,6.2,3.881845506,0.000626104
O1G5R6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/28/19,28,67,8.2,6.40695122,0.000781336
R1G3P6,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/28/19,28,72,7.1,3.493087132,0.000491984
G1G2P3,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/28/19,28,65,5.9,2.881582192,0.000488404
P1P2G5,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/28/19,28,66,7.2,4.328280457,0.00060115
O1O5G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/28/19,28,61,5,5.44200311,0.001088401
G2R3G6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/28/19,28,65,6.7,3.832629558,0.000572034
R3G4G5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/28/19,28,68,5.3,5.078952747,0.000958293
P1R3P4,EHMA,F,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/28/19,28,57,5.5,8.72019912,0.001585491
G1R3R4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,28 to 12,WAM,4/28/19,28,67,6.7,4.577879305,0.000683266
R1P4O6,EHMA,M,19.31422,RVMA-EHMA,MA,N,41.82633,28 to 12,WAM,4/28/19,28,62,7.1,4.453445124,0.000627246
R2P3P5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/28/19,28,85,18.9,8.791477356,0.000465158
R4R5G6,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/28/19,28,76,14.9,6.642726162,0.000445821
O3R4G5,PEAME,M,15.63283,OCME-PEAME,ME,N,44.29059,28 to 12,WAM,4/28/19,28,64,6.1,3.850390635,0.000631212
G2O4P5,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/28/19,28,66,6.7,4.886483017,0.000729326
G1R2O3,RVMA,F,23.49572,RVMA-EHMA,MA,N,41.674169,28 to 12,WAM,4/28/19,28,61,5.7,3.879235147,0.000680568
