pop,datetime,date,time,MMT
PENME,8/1/18 0:00,8/1/18,0:00,21.76
PENME,8/1/18 12:00,8/1/18,12:00,25.319
PENME,8/2/18 0:00,8/2/18,0:00,22.142
PENME,8/2/18 15:00,8/2/18,15:00,25.902
PENME,8/3/18 3:00,8/3/18,3:00,23.484
PENME,8/3/18 15:00,8/3/18,15:00,26.39
PENME,8/4/18 3:00,8/4/18,3:00,23.196
PENME,8/4/18 15:00,8/4/18,15:00,23.966
PENME,8/5/18 3:00,8/5/18,3:00,21.76
PENME,8/5/18 15:00,8/5/18,15:00,25.416
PENME,8/6/18 6:00,8/6/18,6:00,22.238
PENME,8/6/18 18:00,8/6/18,18:00,24.931
PENME,8/7/18 6:00,8/7/18,6:00,22.333
PENME,8/7/18 18:00,8/7/18,18:00,24.255
PENME,8/8/18 6:00,8/8/18,6:00,22.812
PENME,8/8/18 18:00,8/8/18,18:00,24.641
PENME,8/9/18 9:00,8/9/18,9:00,23.004
PENME,8/9/18 21:00,8/9/18,21:00,21.951
PENME,8/10/18 9:00,8/10/18,9:00,21.855
PENME,8/10/18 21:00,8/10/18,21:00,21.282
PENME,8/11/18 9:00,8/11/18,9:00,20.043
PENME,8/11/18 21:00,8/11/18,21:00,20.615
PENME,8/12/18 12:00,8/12/18,12:00,20.71
PENME,8/13/18 0:00,8/13/18,0:00,19.282
PENME,8/13/18 12:00,8/13/18,12:00,20.138
PENME,8/14/18 0:00,8/14/18,0:00,18.711
PENME,8/14/18 12:00,8/14/18,12:00,19.472
PENME,8/15/18 0:00,8/15/18,0:00,19.092
PENME,8/15/18 12:00,8/15/18,12:00,20.996
PENME,8/16/18 3:00,8/16/18,3:00,19.472
PENME,8/16/18 15:00,8/16/18,15:00,20.71
PENME,8/17/18 3:00,8/17/18,3:00,18.331
PENME,8/17/18 15:00,8/17/18,15:00,23.1
PENME,8/18/18 3:00,8/18/18,3:00,20.329
PENME,8/18/18 15:00,8/18/18,15:00,19.853
PENME,8/19/18 6:00,8/19/18,6:00,18.045
PENME,8/19/18 18:00,8/19/18,18:00,20.805
PENME,8/20/18 6:00,8/20/18,6:00,18.045
PENME,8/20/18 18:00,8/20/18,18:00,23.196
PENME,8/21/18 6:00,8/21/18,6:00,16.523
PENME,8/21/18 18:00,8/21/18,18:00,22.429
PENME,8/22/18 9:00,8/22/18,9:00,19.853
PENME,8/22/18 21:00,8/22/18,21:00,20.043
PENME,8/23/18 9:00,8/23/18,9:00,18.806
PENME,8/23/18 21:00,8/23/18,21:00,20.805
PENME,8/24/18 9:00,8/24/18,9:00,18.045
PENME,8/24/18 21:00,8/24/18,21:00,20.901
PENME,8/25/18 9:00,8/25/18,9:00,18.236
PENME,8/25/18 21:00,8/25/18,21:00,20.043
PENME,8/26/18 9:00,8/26/18,9:00,18.711
PENME,8/26/18 21:00,8/26/18,21:00,20.234
PENME,8/27/18 12:00,8/27/18,12:00,21.282
PENME,8/28/18 0:00,8/28/18,0:00,21.378
PENME,8/28/18 12:00,8/28/18,12:00,23.004
PENME,8/29/18 0:00,8/29/18,0:00,22.429
PENME,8/29/18 12:00,8/29/18,12:00,23.773
PENME,8/30/18 0:00,8/30/18,0:00,23.1
PENME,8/30/18 12:00,8/30/18,12:00,22.046
PENME,8/31/18 0:00,8/31/18,0:00,18.331
PENME,8/31/18 12:00,8/31/18,12:00,21.76
DIME,8/1/18 0:00,8/1/18,0:00,17.094
DIME,8/1/18 12:00,8/1/18,12:00,17.284
DIME,8/2/18 0:00,8/2/18,0:00,16.808
DIME,8/2/18 15:00,8/2/18,15:00,18.711
DIME,8/3/18 3:00,8/3/18,3:00,18.14
DIME,8/3/18 15:00,8/3/18,15:00,18.236
DIME,8/4/18 3:00,8/4/18,3:00,18.14
DIME,8/4/18 15:00,8/4/18,15:00,18.426
DIME,8/5/18 3:00,8/5/18,3:00,18.426
DIME,8/5/18 15:00,8/5/18,15:00,18.426
DIME,8/6/18 6:00,8/6/18,6:00,17.57
DIME,8/6/18 18:00,8/6/18,18:00,18.045
DIME,8/7/18 6:00,8/7/18,6:00,17.76
DIME,8/7/18 18:00,8/7/18,18:00,18.711
DIME,8/8/18 6:00,8/8/18,6:00,18.045
DIME,8/8/18 18:00,8/8/18,18:00,16.999
DIME,8/9/18 9:00,8/9/18,9:00,17.57
DIME,8/9/18 21:00,8/9/18,21:00,17.379
DIME,8/10/18 9:00,8/10/18,9:00,16.903
DIME,8/10/18 21:00,8/10/18,21:00,15.76
DIME,8/11/18 9:00,8/11/18,9:00,15.855
DIME,8/11/18 21:00,8/11/18,21:00,15.664
DIME,8/12/18 12:00,8/12/18,12:00,15.569
DIME,8/13/18 0:00,8/13/18,0:00,15.378
DIME,8/13/18 12:00,8/13/18,12:00,15.473
DIME,8/14/18 0:00,8/14/18,0:00,15.282
DIME,8/14/18 12:00,8/14/18,12:00,15.473
DIME,8/15/18 0:00,8/15/18,0:00,15.282
DIME,8/15/18 12:00,8/15/18,12:00,16.046
DIME,8/16/18 3:00,8/16/18,3:00,15.473
DIME,8/16/18 15:00,8/16/18,15:00,17.189
DIME,8/17/18 3:00,8/17/18,3:00,15.378
DIME,8/17/18 15:00,8/17/18,15:00,15.855
DIME,8/18/18 3:00,8/18/18,3:00,16.046
DIME,8/18/18 15:00,8/18/18,15:00,16.237
DIME,8/19/18 6:00,8/19/18,6:00,15.76
DIME,8/19/18 18:00,8/19/18,18:00,15.378
DIME,8/20/18 6:00,8/20/18,6:00,15.091
DIME,8/20/18 18:00,8/20/18,18:00,16.237
DIME,8/21/18 6:00,8/21/18,6:00,15.187
DIME,8/21/18 18:00,8/21/18,18:00,16.903
DIME,8/22/18 9:00,8/22/18,9:00,16.713
DIME,8/22/18 21:00,8/22/18,21:00,16.427
DIME,8/23/18 9:00,8/23/18,9:00,16.808
DIME,8/23/18 21:00,8/23/18,21:00,17.094
DIME,8/24/18 9:00,8/24/18,9:00,16.713
DIME,8/24/18 21:00,8/24/18,21:00,16.903
DIME,8/25/18 9:00,8/25/18,9:00,17.094
DIME,8/25/18 21:00,8/25/18,21:00,18.711
DIME,8/26/18 9:00,8/26/18,9:00,18.616
DIME,8/26/18 21:00,8/26/18,21:00,18.901
DIME,8/27/18 12:00,8/27/18,12:00,19.853
DIME,8/28/18 0:00,8/28/18,0:00,16.713
DIME,8/28/18 12:00,8/28/18,12:00,16.999
DIME,8/29/18 0:00,8/29/18,0:00,17.855
DIME,8/29/18 12:00,8/29/18,12:00,17.284
DIME,8/30/18 0:00,8/30/18,0:00,17.57
DIME,8/30/18 12:00,8/30/18,12:00,17.189
DIME,8/31/18 0:00,8/31/18,0:00,16.141
DIME,8/31/18 12:00,8/31/18,12:00,16.618
OCME,8/1/18 0:00,8/1/18,0:00,17.57
OCME,8/1/18 12:00,8/1/18,12:00,19.567
OCME,8/2/18 3:00,8/2/18,3:00,17.189
OCME,8/2/18 15:00,8/2/18,15:00,18.711
OCME,8/3/18 3:00,8/3/18,3:00,17.95
OCME,8/3/18 15:00,8/3/18,15:00,20.138
OCME,8/4/18 3:00,8/4/18,3:00,19.282
OCME,8/4/18 15:00,8/4/18,15:00,18.426
OCME,8/5/18 3:00,8/5/18,3:00,16.999
OCME,8/5/18 15:00,8/5/18,15:00,19.472
OCME,8/6/18 6:00,8/6/18,6:00,18.045
OCME,8/6/18 18:00,8/6/18,18:00,18.045
OCME,8/7/18 6:00,8/7/18,6:00,18.14
OCME,8/7/18 18:00,8/7/18,18:00,17.665
OCME,8/8/18 6:00,8/8/18,6:00,18.806
OCME,8/8/18 18:00,8/8/18,18:00,20.138
OCME,8/9/18 9:00,8/9/18,9:00,18.996
OCME,8/9/18 21:00,8/9/18,21:00,18.045
OCME,8/10/18 9:00,8/10/18,9:00,18.331
OCME,8/10/18 21:00,8/10/18,21:00,18.14
OCME,8/11/18 9:00,8/11/18,9:00,17.665
OCME,8/11/18 21:00,8/11/18,21:00,17.094
OCME,8/12/18 12:00,8/12/18,12:00,17.57
OCME,8/13/18 0:00,8/13/18,0:00,17.094
OCME,8/13/18 12:00,8/13/18,12:00,17.379
OCME,8/14/18 0:00,8/14/18,0:00,17.189
OCME,8/14/18 12:00,8/14/18,12:00,17.57
OCME,8/15/18 0:00,8/15/18,0:00,17.189
OCME,8/15/18 12:00,8/15/18,12:00,17.57
OCME,8/16/18 3:00,8/16/18,3:00,17.094
OCME,8/16/18 15:00,8/16/18,15:00,18.806
OCME,8/17/18 3:00,8/17/18,3:00,17.855
OCME,8/17/18 15:00,8/17/18,15:00,18.711
OCME,8/18/18 3:00,8/18/18,3:00,17.094
OCME,8/18/18 15:00,8/18/18,15:00,17.855
OCME,8/19/18 3:00,8/19/18,3:00,16.999
OCME,8/19/18 18:00,8/19/18,18:00,20.234
OCME,8/20/18 6:00,8/20/18,6:00,17.57
OCME,8/20/18 18:00,8/20/18,18:00,20.234
OCME,8/21/18 6:00,8/21/18,6:00,17.57
OCME,8/21/18 18:00,8/21/18,18:00,19.567
OCME,8/22/18 6:00,8/22/18,6:00,18.426
OCME,8/22/18 21:00,8/22/18,21:00,18.521
OCME,8/23/18 9:00,8/23/18,9:00,17.95
OCME,8/23/18 21:00,8/23/18,21:00,19.282
OCME,8/24/18 9:00,8/24/18,9:00,16.903
OCME,8/24/18 21:00,8/24/18,21:00,17.284
OCME,8/25/18 9:00,8/25/18,9:00,16.808
OCME,8/25/18 21:00,8/25/18,21:00,16.903
OCME,8/26/18 9:00,8/26/18,9:00,16.999
OCME,8/26/18 21:00,8/26/18,21:00,16.808
OCME,8/27/18 12:00,8/27/18,12:00,17.76
OCME,8/28/18 0:00,8/28/18,0:00,18.616
OCME,8/28/18 12:00,8/28/18,12:00,17.855
OCME,8/29/18 0:00,8/29/18,0:00,17.57
OCME,8/29/18 12:00,8/29/18,12:00,18.426
OCME,8/30/18 0:00,8/30/18,0:00,17.665
OCME,8/30/18 12:00,8/30/18,12:00,18.045
OCME,8/31/18 0:00,8/31/18,0:00,17.665
OCME,8/31/18 12:00,8/31/18,12:00,19.092
PEAME,8/1/18 0:00,8/1/18,0:00,14.421
PEAME,8/1/18 12:00,8/1/18,12:00,17.094
PEAME,8/2/18 0:00,8/2/18,0:00,15.378
PEAME,8/2/18 15:00,8/2/18,15:00,17.665
PEAME,8/3/18 3:00,8/3/18,3:00,14.421
PEAME,8/3/18 15:00,8/3/18,15:00,17.665
PEAME,8/4/18 3:00,8/4/18,3:00,14.517
PEAME,8/4/18 15:00,8/4/18,15:00,16.046
PEAME,8/5/18 3:00,8/5/18,3:00,14.709
PEAME,8/5/18 15:00,8/5/18,15:00,17.379
PEAME,8/6/18 6:00,8/6/18,6:00,15.76
PEAME,8/6/18 18:00,8/6/18,18:00,17.094
PEAME,8/7/18 6:00,8/7/18,6:00,15.378
PEAME,8/7/18 18:00,8/7/18,18:00,16.046
PEAME,8/8/18 6:00,8/8/18,6:00,14.996
PEAME,8/8/18 18:00,8/8/18,18:00,17.094
PEAME,8/9/18 9:00,8/9/18,9:00,16.999
PEAME,8/9/18 21:00,8/9/18,21:00,14.23
PEAME,8/10/18 9:00,8/10/18,9:00,14.421
PEAME,8/10/18 21:00,8/10/18,21:00,13.654
PEAME,8/11/18 9:00,8/11/18,9:00,15.664
PEAME,8/11/18 21:00,8/11/18,21:00,15.187
PEAME,8/12/18 12:00,8/12/18,12:00,15.378
PEAME,8/13/18 0:00,8/13/18,0:00,15.282
PEAME,8/13/18 12:00,8/13/18,12:00,15.664
PEAME,8/14/18 0:00,8/14/18,0:00,15.282
PEAME,8/14/18 12:00,8/14/18,12:00,15.664
PEAME,8/15/18 0:00,8/15/18,0:00,14.996
PEAME,8/15/18 12:00,8/15/18,12:00,15.569
PEAME,8/16/18 3:00,8/16/18,3:00,14.517
PEAME,8/16/18 15:00,8/16/18,15:00,14.996
PEAME,8/17/18 3:00,8/17/18,3:00,13.75
PEAME,8/17/18 15:00,8/17/18,15:00,16.713
PEAME,8/18/18 3:00,8/18/18,3:00,15.187
PEAME,8/18/18 15:00,8/18/18,15:00,14.996
PEAME,8/19/18 6:00,8/19/18,6:00,14.421
PEAME,8/19/18 18:00,8/19/18,18:00,15.951
PEAME,8/20/18 6:00,8/20/18,6:00,15.091
PEAME,8/20/18 18:00,8/20/18,18:00,16.903
PEAME,8/21/18 6:00,8/21/18,6:00,14.804
PEAME,8/21/18 18:00,8/21/18,18:00,16.808
PEAME,8/22/18 6:00,8/22/18,6:00,16.332
PEAME,8/22/18 21:00,8/22/18,21:00,16.332
PEAME,8/23/18 9:00,8/23/18,9:00,16.427
PEAME,8/23/18 21:00,8/23/18,21:00,14.517
PEAME,8/24/18 9:00,8/24/18,9:00,15.473
PEAME,8/24/18 21:00,8/24/18,21:00,15.569
PEAME,8/25/18 9:00,8/25/18,9:00,16.713
PEAME,8/25/18 21:00,8/25/18,21:00,15.569
PEAME,8/26/18 9:00,8/26/18,9:00,16.618
PEAME,8/26/18 21:00,8/26/18,21:00,15.569
PEAME,8/27/18 12:00,8/27/18,12:00,16.237
PEAME,8/28/18 0:00,8/28/18,0:00,14.134
PEAME,8/28/18 12:00,8/28/18,12:00,16.332
PEAME,8/29/18 0:00,8/29/18,0:00,14.996
PEAME,8/29/18 12:00,8/29/18,12:00,17.57
PEAME,8/30/18 0:00,8/30/18,0:00,15.664
PEAME,8/30/18 12:00,8/30/18,12:00,14.996
PEAME,8/31/18 0:00,8/31/18,0:00,14.038
PEAME,8/31/18 12:00,8/31/18,12:00,17.094
RVMA,8/1/18 3:00,8/1/18,3:00,23.773
RVMA,8/1/18 15:00,8/1/18,15:00,24.158
RVMA,8/2/18 3:00,8/2/18,3:00,24.351
RVMA,8/2/18 15:00,8/2/18,15:00,27.37
RVMA,8/3/18 3:00,8/3/18,3:00,25.708
RVMA,8/3/18 15:00,8/3/18,15:00,28.357
RVMA,8/4/18 3:00,8/4/18,3:00,25.805
RVMA,8/4/18 18:00,8/4/18,18:00,26.585
RVMA,8/5/18 6:00,8/5/18,6:00,23.966
RVMA,8/5/18 18:00,8/5/18,18:00,26.585
RVMA,8/6/18 6:00,8/6/18,6:00,25.902
RVMA,8/6/18 18:00,8/6/18,18:00,28.357
RVMA,8/7/18 6:00,8/7/18,6:00,25.319
RVMA,8/7/18 18:00,8/7/18,18:00,28.159
RVMA,8/8/18 9:00,8/8/18,9:00,26.781
RVMA,8/8/18 21:00,8/8/18,21:00,28.357
RVMA,8/9/18 9:00,8/9/18,9:00,26.781
RVMA,8/9/18 21:00,8/9/18,21:00,27.272
RVMA,8/10/18 9:00,8/10/18,9:00,22.908
RVMA,8/10/18 21:00,8/10/18,21:00,23.869
RVMA,8/11/18 12:00,8/11/18,12:00,22.717
RVMA,8/12/18 0:00,8/12/18,0:00,20.71
RVMA,8/12/18 12:00,8/12/18,12:00,22.046
RVMA,8/13/18 0:00,8/13/18,0:00,20.615
RVMA,8/13/18 12:00,8/13/18,12:00,19.472
RVMA,8/14/18 0:00,8/14/18,0:00,18.806
RVMA,8/14/18 15:00,8/14/18,15:00,23.677
RVMA,8/15/18 3:00,8/15/18,3:00,23.484
